CO_MUNICIPIO_GESTOR,Municipio,Mesoregiao,RegionaldeSaude,DensidadeDemografica_2010_,PopulacaoEstimada_2021_,IdadeMediaPop,PopRelPediatrica,PopRelIdoso,IDHM_2010_,PIBPerCapita_2020_
220005,Acauã,Sudeste Piauiense,Vale Do Rio Guaribas,"5,27",7119,"33,16","28,22","10,72",528,"8819,73"
220010,Agricolândia,Centro Norte Piauiense,Entre Rios,"45,35",5123,"36,04","25,95","15,45",599,"8453,12"
220020,Água Branca,Centro Norte Piauiense,Entre Rios,"169,53",17525,"34,26","27,9","12,64",639,"12537,11"
220025,Alagoinha do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,"13,77",7678,"36,04","23,29","12,69",531,"8772,48"
220027,Alegrete do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,"18,23",4921,"34,28","26,31","11,96",585,"11207,05"
220030,Alto Longá,Centro Norte Piauiense,Entre Rios,"7,85",14371,"35,86","25,02","13,54",585,"8341,81"
220040,Altos,Centro Norte Piauiense,Entre Rios,"40,54",40681,"33,98","26,74","11,59",614,"11770,84"
220045,Alvorada do Gurguéia,Sudoeste Piauiense,Chapada Das Mangabeiras,"2,37",5469,"30,54","32,75","8,99",578,"13717,24"
220050,Amarante,Centro Norte Piauiense,Entre Rios,"14,83",17609,"34,92","27,33","13,79",598,"10342,85"
220060,Angical do Piauí,Centro Norte Piauiense,Entre Rios,"29,86",6779,"36,88","25,46","15,09",630,"9859,8"
220070,Anísio de Abreu,Sudoeste Piauiense,Serra Da Capivara,"26,93",9994,"32,32","28,72","10,4",594,"9298,27"
220080,Antônio Almeida,Sudoeste Piauiense,Tabuleiros Do Alto Parnaìba,"4,71",3175,"34,42","26,62","11,73",620,"41997,77"
220090,Aroazes,Centro Norte Piauiense,Vale Do Sambito,"7,03",5819,"36,24","25,44","14,67",583,"9489,48"
220095,Aroeiras do Itaim,Sudeste Piauiense,Vale Do Rio Guaribas,"9,49",2551,"37,62","21,93","15,28",519,"10072,06"
220100,Arraial,Centro Norte Piauiense,Vale Dos Rios Piauì E Itaueiras,"6,87",4713,"33,35","29,14","11,75",560,"9336,01"
220105,Assunção do Piauí,Centro Norte Piauiense,Carnaubais,"4,44",7879,"30,16","34,84","9,33",499,"7026,24"
220110,Avelino Lopes,Sudoeste Piauiense,Chapada Das Mangabeiras,"8,48",11361,"33,49","29,09","11,74",554,"7913,71"
220115,Baixa Grande do Ribeiro,Sudoeste Piauiense,Tabuleiros Do Alto Parnaìba,"1,35",11751,"28,32","34,93","6,34",564,"105367,32"
220117,Barra D'Alcântara,Centro Norte Piauiense,Vale Do Sambito,"14,63",3953,"35,21","26,66","13,57",577,"10170,31"
220120,Barras,Norte Piauiense,Cocais,"26,08",47298,"32,34","29,35","10,54",595,"9950,15"
220130,Barreiras do Piauí,Sudoeste Piauiense,Chapada Das Mangabeiras,"1,59",3356,"32,13","31,36","10,36",557,"37497,16"
220140,Barro Duro,Centro Norte Piauiense,Entre Rios,"50,39",7022,"34,08","27,69","12,16",612,"12134,83"
220150,Batalha,Norte Piauiense,Cocais,"16,22",26951,"33,24","28,49","11,4",545,"8122,58"
220155,Bela Vista do Piauí,Sudeste Piauiense,Vale Do Canindè,"7,57",4044,"32,94","28,21","10,07",576,"10949,65"
220157,Belém do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,"13,5",3607,"34,78","25,21","11,98",551,"11097,62"
220160,Beneditinos,Centro Norte Piauiense,Entre Rios,"12,57",10479,"35,15","25,91","13,5",557,"8471,44"
220170,Bertolínia,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,"4,34",5512,"34,17","27,75","12,68",612,"12631,63"
220173,Betânia do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,"10,65",6214,"31,12","31,9","9,52",489,"9205,41"
220177,Boa Hora,Norte Piauiense,Carnaubais,"18,65",6848,"31,65","30,91","10,36",575,"9327,21"
220180,Bocaina,Sudeste Piauiense,Vale Do Rio Guaribas,"16,27",4509,"38,66","22,03","16,84",632,"11796,18"
220190,Bom Jesus,Sudoeste Piauiense,Chapada Das Mangabeiras,"4,14",25584,"30,75","29,35","7,67",668,"44512,93"
220191,Bom Princípio do Piauí,Norte Piauiense,Planície Litorânea,"10,17",5670,"32,82","29,06","10,98",532,"11027,67"
220192,Bonfim do Piauí,Sudoeste Piauiense,Serra Da Capivara,"18,65",5700,"33,79","27,18","11,72",542,"8610,57"
220194,Boqueirão do Piauí,Centro Norte Piauiense,Carnaubais,"22,25",6443,"34,63","27,58","13,87",560,"8038,99"
220196,Brasileira,Norte Piauiense,Cocais,"9,04",8364,"34,6","26,04","12,35",577,"7817,64"
220198,Brejo do Piauí,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,"1,76",3824,"33,48","28,94","11,59",515,"10111,06"
220200,Buriti dos Lopes,Norte Piauiense,Planície Litorânea,"27,6",19832,"32,52","29,01","10,78",565,"9743,51"
220202,Buriti dos Montes,Centro Norte Piauiense,Carnaubais,"3,01",8282,"33,34","28,84","11,61",574,"8364,81"
220205,Cabeceiras do Piauí,Norte Piauiense,Carnaubais,"16,31",10671,"34,4","25,99","12,07",583,"7465,54"
220207,Cajazeiras do Piauí,Sudeste Piauiense,Vale Do Canindè,"6,5",3586,"33,55","28,18","12,5",562,"8489,11"
220208,Cajueiro da Praia,Norte Piauiense,Planície Litorânea,"26,36",7704,"33,06","28,09","11,2",546,"12111,96"
220209,Caldeirão Grande do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,"11,46",5786,"33,16","29,66","11,81",588,"29732,7"
220210,Campinas do Piauí,Sudeste Piauiense,Vale Do Canindè,"6,51",5628,"34,81","27,72","12,98",544,"9334,61"
220211,Campo Alegre do Fidalgo,Sudeste Piauiense,Serra Da Capivara,"7,13",5093,"31,97","28,94","9,52",537,"9345,47"
220213,Campo Grande do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,"17,93",5987,"33,84","26,15","10,94",560,"10597,8"
220217,Campo Largo do Piauí,Norte Piauiense,Cocais,"14,24",7342,"29,42","34,04","8,36",528,"7119,85"
220220,Campo Maior,Centro Norte Piauiense,Carnaubais,"26,96",46950,"36,08","23,15","12,76",656,"14081,19"
220225,Canavieira,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,"1,81",3938,"33,78","29,64","12,53",583,"9918,17"
220230,Canto do Buriti,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,"4,63",21326,"34,39","27,04","12,24",576,"12343,66"
220240,Capitão de Campos,Centro Norte Piauiense,Cocais,"18,5",11471,"33,73","27,71","11,74",583,"8596,85"
220245,Capitão Gervásio Oliveira,Sudeste Piauiense,Serra Da Capivara,"3,42",4127,"33,36","28,41","11,6",553,"9485,14"
220250,Caracol,Sudoeste Piauiense,Serra Da Capivara,"6,34",11009,"31,25","30,37","9,44",552,"9389,49"
220253,Caraúbas do Piauí,Norte Piauiense,Planície Litorânea,"11,72",5910,"31,96","30,71","10,41",505,"9359,66"
220255,Caridade do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,"9,63",5102,"31,64","29,55","10,21",541,"9877,66"
220260,Castelo do Piauí,Centro Norte Piauiense,Carnaubais,"9,01",19716,"34,34","28,27","13,26",587,"9453,46"
220265,Caxingó,Norte Piauiense,Planície Litorânea,"10,32",5477,"30,39","32,21","8,63",488,"9220,78"
220270,Cocal,Norte Piauiense,Planície Litorânea,"20,51",27901,"31,6","31,07","10,54",497,"9092,64"
220271,Cocal de Telha,Centro Norte Piauiense,Carnaubais,"16,04",4908,"34,8","26,96","12,79",555,"9005,05"
220272,Cocal dos Alves,Norte Piauiense,Planície Litorânea,"15,58",6180,"32,58","28,75","9,87",498,"8828,28"
220273,Coivaras,Centro Norte Piauiense,Entre Rios,"7,85",4044,"34,25","27,07","12,57",565,"9645,55"
220275,Colônia do Gurguéia,Sudoeste Piauiense,Chapada Das Mangabeiras,"14,02",6545,"32,71","29,78","11,17",628,"9784,95"
220277,Colônia do Piauí,Sudeste Piauiense,Vale Do Canindè,"7,84",7665,"33,57","27,51","11,05",588,"8172,49"
220280,Conceição do Canindé,Sudeste Piauiense,Vale Do Canindè,"5,38",4811,"35,12","27,62","13,86",589,"12393,67"
220285,Coronel José Dias,Sudoeste Piauiense,Serra Da Capivara,"2,37",4688,"34,92","25,77","13,34",546,"9406,99"
220290,Corrente,Sudoeste Piauiense,Chapada Das Mangabeiras,"8,33",26771,"31,54","30,52","9,46",642,"19340,59"
220300,Cristalândia do Piauí,Sudoeste Piauiense,Chapada Das Mangabeiras,"6,51",8350,"31,7","31,78","10,15",573,"8306,38"
220310,Cristino Castro,Sudoeste Piauiense,Chapada Das Mangabeiras,"5,41",10464,"31,98","30,09","10,45",566,"10948,51"
220320,Curimatá,Sudoeste Piauiense,Chapada Das Mangabeiras,"4,6",11461,"32,26","30,49","10,28",607,"10662,46"
220323,Currais,Sudoeste Piauiense,Chapada Das Mangabeiras,"1,49",4982,"31,48","32,19","10,24",542,"66303,65"
220327,Curral Novo do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,"6,47",5390,"29,67","33,94","8,04",527,"12172,27"
220325,Curralinhos,Centro Norte Piauiense,Entre Rios,"12,09",4475,"32,66","29,84","11,15",555,"7820,74"
220330,Demerval Lobão,Centro Norte Piauiense,Entre Rios,"61,24",13862,"34,43","26,33","12,68",618,"14202,78"
220335,Dirceu Arcoverde,Sudoeste Piauiense,Serra Da Capivara,"6,56",7046,"34,75","26,01","12,86",561,"8847,46"
220340,Dom Expedito Lopes,Sudeste Piauiense,Vale Do Rio Guaribas,"29,99",6940,"35,41","24,01","11,44",601,"11379,18"
220345,Dom Inocêncio,Sudoeste Piauiense,Serra Da Capivara,"2,39",9574,"34,97","26,2","12,96",549,"10043,03"
220342,Domingos Mourão,Centro Norte Piauiense,Cocais,"5,04",4352,"32,5","31,19","11,93",550,"9576,01"
220350,Elesbão Veloso,Centro Norte Piauiense,Vale Do Sambito,"10,77",14550,"37,02","23,33","15,29",580,"10458,6"
220360,Eliseu Martins,Sudoeste Piauiense,Chapada Das Mangabeiras,"4,28",4943,"35,86","25,58","14,35",595,"10497,9"
220370,Esperantina,Norte Piauiense,Cocais,"41,45",39953,"33,16","27,24","10,72",605,"10881,53"
220375,Fartura do Piauí,Sudoeste Piauiense,Serra Da Capivara,"7,12",5330,"33,21","28,84","11,83",548,"7914,85"
220380,Flores do Piauí,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,"4,61",4461,"34,15","28,49","12,17",547,"9890,89"
220385,Floresta do Piauí,Sudeste Piauiense,Vale Do Canindè,"12,75",2561,"36,56","24,61","14,3",538,"9532,49"
220390,Floriano,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,"16,92",60111,"34,46","24,25","11,01",700,"21866,04"
220400,Francinópolis,Centro Norte Piauiense,Vale Do Sambito,"19,48",5345,"35,61","26,69","14,44",564,"7817,02"
220410,Francisco Ayres,Centro Norte Piauiense,Vale Dos Rios Piauì E Itaueiras,"6,82",4300,"36,34","25,55","15,26",577,"9856,56"
220415,Francisco Macedo,Sudeste Piauiense,Vale Do Rio Guaribas,"18,54",3216,"34,41","25,32","11,5",553,"10864,74"
220420,Francisco Santos,Sudeste Piauiense,Vale Do Rio Guaribas,"17,47",9423,"34,78","25,04","11,47",608,"8856,99"
220430,Fronteiras,Sudeste Piauiense,Vale Do Rio Guaribas,"14,33",11690,"34,48","26,21","11,66",619,"10158,38"
220435,Geminiano,Sudeste Piauiense,Vale Do Rio Guaribas,"11,84",5477,"34,03","27,15","11,56",561,"10318,12"
220440,Gilbués,Sudoeste Piauiense,Chapada Das Mangabeiras,"2,98",10698,"31,02","32,21","9,45",548,"28731,95"
220450,Guadalupe,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,"10,03",10496,"33,64","26,88","11,12",650,"52659,38"
220455,Guaribas,Sudoeste Piauiense,Serra Da Capivara,"1,41",4573,"28,47","34,52","6,8",508,"9296,46"
220460,Hugo Napoleão,Centro Norte Piauiense,Entre Rios,"16,8",3880,"34,72","26,7","12,46",599,"8229,71"
220465,Ilha Grande,Norte Piauiense,Planície Litorânea,"66,36",9487,"32,89","29,59","11,65",563,"8467,91"
220470,Inhuma,Centro Norte Piauiense,Vale Do Sambito,"15,18",15330,35,"26,1","12,79",624,"9993,08"
220480,Ipiranga do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,"17,67",9863,"34,73","26,46","12,34",630,"8121,33"
220490,Isaías Coelho,Sudeste Piauiense,Vale Do Canindè,"10,59",8582,"32,7","29,23","11,51",582,"9341,78"
220500,Itainópolis,Sudeste Piauiense,Vale Do Rio Guaribas,"13,41",11571,"37,44","23,09","14,55",541,"9009,69"
220510,Itaueira,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,"4,18",11037,"35,22","25,59","12,85",583,"11589,82"
220515,Jacobina do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,"4,17",5718,"34,16","25,18","10,22",535,"10244,47"
220520,Jaicós,Sudeste Piauiense,Vale Do Rio Guaribas,"20,85",19233,"33,51","28,47","11,82",524,"10107,94"
220525,Jardim do Mulato,Centro Norte Piauiense,Entre Rios,"8,45",4522,"34,55","27,06","12,25",593,"7711,23"
220527,Jatobá do Piauí,Centro Norte Piauiense,Carnaubais,"7,13",4885,"36,64","24,27","14,93",566,"10570,54"
220530,Jerumenha,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,"2,35",4443,"34,43","27,41","12,77",591,"10792,44"
220535,João Costa,Sudeste Piauiense,Serra Da Capivara,"1,64",3003,"34,05","25,34","11,02",561,"21329,08"
220540,Joaquim Pires,Norte Piauiense,Cocais,"18,68",14396,"31,6","29,9","9,87",522,"7468,44"
220545,Joca Marques,Norte Piauiense,Cocais,"30,64",5488,"30,73","29,86",9,504,"8209,22"
220550,José de Freitas,Centro Norte Piauiense,Entre Rios,"24,11",39457,"33,46","26,81","11,25",618,"9650,85"
220551,Juazeiro do Piauí,Centro Norte Piauiense,Carnaubais,"5,75",5491,"32,68","29,95","11,17",570,"11055,7"
220552,Júlio Borges,Sudoeste Piauiense,Chapada Das Mangabeiras,"4,14",5653,"32,44","30,33","11,38",582,"13124,27"
220553,Jurema,Sudoeste Piauiense,Serra Da Capivara,"3,55",4790,"33,04","27,63","11,41",555,"9002,88"
220555,Lagoa Alegre,Centro Norte Piauiense,Entre Rios,"20,29",8610,"32,17","30,42","11,58",550,"8532,94"
