CO_MUNICIPIO_GESTOR;PacientesEnv
110143;1.0
130170;1.0
130260;1.0
140010;1.0
140060;1.0
150130;1.0
150140;1.0
150150;1.0
150175;1.0
150215;1.0
150240;1.0
150277;1.5
150280;3.0
150309;1.0
150420;2.0
150497;1.0
150506;1.0
150550;2.0
150553;1.5
150670;1.0
150730;2.0
150745;1.0
150795;1.0
150800;1.0
150805;1.0
150815;1.0
160010;1.0
170210;1.0
170610;1.0
170740;1.0
171395;1.0
171610;1.0
171830;1.0
172100;1.0
172210;1.0
210005;1.0
210010;1.0
210015;19.0
210030;1.0
210047;1.0
210050;1.0
210060;1.0
210080;2.0
210090;66.0
210095;1.0
210120;3.0
210130;1.0
210140;2.0
210150;62.0
210160;2.0
210180;13.0
210203;1.5
210210;3.0
210220;1.5
210230;1.0
210232;2.0
210250;1.0
210275;2.0
210290;1.0
210300;10.0
210315;1.0
210320;1.0
210330;2.5
210340;3.0
210350;1.0
210355;1.0
210360;1.0
210380;2.0
210390;1.0
210400;1.0
210440;1.0
210450;1.0
210460;1.0
210462;1.5
210480;1.0
210510;1.0
210515;1.0
210520;1.0
210530;1.0
210540;1.0
210545;1.0
210550;1.0
210560;1.0
210565;1.0
210570;1.0
210592;1.5
210594;1.0
210610;1.0
210620;1.0
210630;17.5
210632;1.0
210637;1.0
210640;1.0
210660;16.0
210667;1.0
210670;1.0
210675;1.0
210710;1.0
210730;1.0
210735;1.0
210740;1.0
210745;1.0
210760;1.0
210770;1.5
210780;16.5
210790;1.5
210800;1.0
210805;1.0
210820;1.0
210860;1.0
210870;1.0
210890;1.0
210900;1.5
210910;1.0
210990;1.0
211000;1.0
211010;9.0
211023;7.0
211030;1.0
211060;40.0
211065;1.0
211070;1.0
211080;1.0
211090;14.5
211105;1.0
211107;1.0
211110;8.0
211130;2.0
211150;1.0
211157;2.0
211160;1.0
211163;6.0
211174;1.0
211176;2.0
211190;1.5
211195;1.5
211210;1.0
211220;149.0
211223;1.0
211230;1.5
211250;16.0
211270;1.0
211290;1.0
211400;1.0
220005;34.5
220010;29.0
220020;121.5
220025;30.5
220027;17.0
220030;50.5
220040;250.5
220045;20.5
220050;154.5
220060;30.5
220070;38.0
220080;16.0
220090;31.0
220095;6.5
220100;24.5
220105;24.0
220110;33.0
220115;29.5
220117;17.0
220120;242.5
220130;8.5
220140;23.0
220150;185.0
220155;14.0
220157;12.5
220160;48.5
220170;24.5
220173;31.0
220177;28.5
220180;18.5
220190;190.0
220191;28.0
220192;31.5
220194;29.0
220196;26.0
220198;9.5
220200;76.0
220202;22.0
220205;40.5
220207;13.0
220208;26.5
220209;22.5
220210;19.0
220211;14.0
220213;18.0
220217;28.5
220220;266.0
220225;14.0
220230;209.0
220240;36.5
220245;12.5
220250;47.5
220253;22.0
220255;21.5
220260;94.0
220265;26.5
220270;115.0
220271;25.5
220272;23.5
220273;20.5
220275;19.5
220277;33.5
220280;20.5
220285;30.5
220290;115.0
220300;10.0
220310;107.0
220320;95.0
220323;28.0
220325;20.5
220327;27.5
220330;121.5
220335;43.0
220340;22.5
220342;10.0
220345;27.0
220350;98.0
220360;12.0
220370;250.0
220375;27.0
220380;16.5
220385;9.0
220390;321.5
220400;17.0
220410;15.0
220415;7.0
220420;26.0
220430;190.0
220435;21.0
220440;29.0
220450;83.0
220455;29.0
220460;14.0
220465;42.0
220470;55.5
220480;32.5
220490;30.5
220500;30.0
220510;61.5
220515;18.5
220520;163.0
220525;20.0
220527;25.5
220530;18.0
220535;13.0
220540;59.0
220545;30.5
220550;243.5
220551;17.5
220552;25.5
220553;27.5
220554;17.0
220555;35.0
220556;19.5
220557;24.5
220558;17.0
220559;27.5
220560;19.5
220570;132.0
220580;190.5
220585;35.5
220590;15.5
220595;19.5
220600;16.0
220605;19.0
220610;51.0
220620;240.0
220630;6.5
220635;32.5
220640;41.5
220650;43.0
220660;34.0
220665;16.0
220667;34.5
220669;27.0
220670;22.5
220672;42.5
220675;27.5
220680;27.0
220690;26.5
220695;15.5
220700;305.5
220710;9.0
220720;18.0
220730;23.0
220735;7.0
220740;24.0
220750;44.0
220755;10.5
220760;146.0
220770;1038.5
220775;13.0
220777;16.5
220779;15.0
220780;90.0
220785;13.0
220790;263.5
220793;9.0
220795;19.5
220800;323.0
220810;44.0
220820;49.5
220830;122.5
220840;254.0
220850;63.0
220855;8.0
220860;9.0
220865;32.0
220870;43.0
220880;168.5
220885;8.0
220887;11.5
220890;27.5
220900;12.5
220910;22.5
220915;11.5
220920;13.0
220930;32.0
220935;13.0
220937;20.5
220940;17.5
220945;9.5
220950;17.0
220955;30.0
220960;11.5
220965;17.5
220970;25.5
220975;7.5
220980;19.5
220985;18.0
220987;13.0
220990;28.5
220995;18.5
220997;46.5
221000;102.0
221005;14.0
221010;9.5
221020;23.5
221030;22.5
221035;30.0
221037;6.5
221038;6.0
221039;13.5
221040;82.0
221050;76.0
221060;575.0
221062;6.0
221063;18.0
221065;42.0
221070;143.5
221080;61.0
221090;14.0
221093;43.0
221095;9.0
221097;12.5
221100;4410.0
221110;231.5
221120;150.0
221130;154.5
221135;30.5
221140;16.5
221150;13.0
221160;8.0
221170;42.5
230010;1.0
230040;1.0
230100;1.0
230130;1.0
230205;4.0
230210;1.0
230230;1.0
230260;1.5
230270;1.0
230340;2.0
230370;1.0
230390;4.5
230410;1.0
230425;1.0
230428;1.0
230440;2.0
230450;1.0
230470;3.5
230523;3.0
230550;1.0
230590;1.0
230625;1.0
230640;2.0
230725;1.0
230730;1.0
230765;1.0
230800;1.0
230940;1.0
230945;1.0
230970;1.0
231030;2.0
231050;1.0
231095;1.0
231100;2.0
231130;1.0
231140;1.0
231150;1.0
231180;1.0
231190;1.0
231195;1.0
231220;1.0
231230;1.0
231310;1.0
231330;1.0
231340;1.0
231360;1.0
231410;2.0
240170;1.0
240810;1.0
241120;1.0
241270;1.5
250010;1.0
250070;1.0
250130;1.0
250135;1.0
250230;1.0
250300;1.0
250370;1.0
250400;1.0
250750;2.0
250937;1.0
251290;1.0
251465;1.0
251500;1.0
260020;1.0
260110;3.0
260410;1.0
260515;1.0
260660;1.0
260960;1.0
260990;1.0
261110;1.0
261160;1.0
261255;1.0
261410;1.0
270070;1.5
270130;1.0
270255;1.0
270550;1.0
280480;1.0
290140;2.0
290270;1.0
290320;1.0
290570;1.0
290590;11.0
290840;1.0
291005;1.0
291080;1.5
291110;1.0
291230;1.0
291955;1.0
292170;3.0
292350;1.0
292360;1.0
292440;2.0
292600;2.0
292740;1.0
292970;2.0
293070;1.0
293290;1.0
310620;1.0
311730;1.0
313750;1.0
314460;1.0
314710;1.0
315220;1.0
316390;1.0
316860;1.0
316900;1.0
320510;1.0
320530;1.0
330455;1.0
330490;1.0
330550;1.0
330610;1.0
350570;1.0
350635;1.0
351380;1.0
352510;1.0
353060;1.0
353440;1.0
354330;1.0
354870;1.5
354940;1.0
354980;2.0
354990;1.0
355030;2.5
355170;1.0
410420;1.0
410650;1.0
411050;2.0
411990;1.0
412450;1.0
420040;1.0
420455;1.0
430235;1.0
430310;1.0
430595;1.0
430825;1.0
432300;1.0
500270;1.0
510525;1.0
510631;1.0
510760;1.0
510792;2.0
520025;1.5
520620;1.0
520840;1.0
520870;1.0
520880;1.0
521090;1.0
521250;1.0
521440;1.0
521523;1.0
521570;2.0
521760;1.0
521810;1.0
521975;1.0
522185;1.0
522205;1.0
530010;3.0
